name,year,match_method,omdb_title,omdb_year,Plot,Genre_full,Actors_full,Writer_full,Director_full,imdbRating_omdb
Heaven's Gate,1980,exact,Heaven's Gate,1980,"In 1890 Wyoming, James Averill is the Sherriff of Johnson County, which is largely inhabited by foreign immigrants. The wealthy cattle owners view the immigrant farmers as a nuisance and hindrance to them enlarging their own land. The cattlemen's association, the Wyoming Stock Growers Association, effectively declares war on the immigrant farmers and gets the state government's blessing. They assemble an army of guns-for-hire and, backed by the U.S. Cavalry, set out to rid the state of the immigrants. James Averill's heart is with the immigrants, but he doesn't think they have a chance of winning the inevitable war.","Adventure, Drama, Western","Kris Kristofferson, Christopher Walken, John Hurt",Michael Cimino,Michael Cimino,6.7
The Final Countdown,1980,exact,The Final Countdown,1980,"In 1980, an assistant in the Department of Defense, Warren Lasky, is assigned by his mysterious chief Richard Tideman to visit the aircraft carrier USS Nimitz commanded by Capt. Matthew Yelland as an observer of the routines. Lasky learns that Commander Air Group (CAG) Richard T. Owens has a great knowledge of history. Out of the blue, the vessel faces a weird storm and they find they have traveled back in time to the eve of the attack of Pearl Harbor on 06 December 1941. When the two Japanese Zeros attack the motorboat of Senator Samuel Chapman, the crew of the Nimitz rescues the senator and his assistant Laurel Scott. But Lasky soon learns the senator had disappeared on that day and Capt. Matthew Yelland is planning to attack the Japanese. Will these actions create a time paradox?","Action, Adventure, Sci-Fi","Kirk Douglas, Martin Sheen, Katharine Ross","Thomas Hunter, Peter Powell, David Ambrose",Don Taylor,6.7
Xanadu,1980,exact,Xanadu,1980,"In Los Angeles, artist Sonny Malone reluctantly returns to his job at Airflow Records--doing poster-sized exact-as-possible renderings of album covers for on-site promotions--as he could not make a living as a freelance artist, where he could truly use his artistic vision. On his first day back at Airflow, he gets sidetracked by thoughts of a young woman who literally rollerskates into him. He's unaware that their initial encounter and subsequent encounters are not accident: she is Kira, a muse who was awakened by his lamentations about his art and sent to help him achieve his artistic vision. Later that day he meets aging Danny McGuire, a former big-band musician turned construction-company owner who wants to return to his roots by owning a live music venue. This meeting too is no accident; Sonny soon discovers that Kira was part of Danny's past. Sonny and Danny achieving their dreams is threatened by Kira knowingly breaking the rules.","Fantasy, Musical, Romance","Olivia Newton-John, Gene Kelly, Michael Beck","Richard Christian Danus, Marc Reid Rubel",Robert Greenwald,5.3
Urban Cowboy,1980,exact,Urban Cowboy,1980,"Bud Davis is a country boy who moves to the city to visit his uncle and his family. He starts hanging out at Gilley's, the popular nightclub owned by Mickey Gilley himself. He takes a job at the oil refinery where his uncle works, hoping to save enough money to buy some land. He also meets a cowgirl named Sissy, they dance together, fall in love and suddenly get married. And then their marriage is shattered when Bud sees Sissy allegedly seeing con man Wes, who teaches her how to ride the mechanical bull... and plans to rob Gilley's. When a bull-riding contest at Gilley's is announced, Bud decides to sign up. Can he win the contest and save his marriage to Sissy?","Drama, Romance, Western","John Travolta, Debra Winger, Scott Glenn","Aaron Latham, James Bridges",James Bridges,6.5
Altered States,1980,exact,Altered States,1980,A psycho-physiologist experiments with drugs and a sensory-deprivation tank and has visions he believes are genetic memories.,"Horror, Sci-Fi, Thriller","William Hurt, Blair Brown, Bob Balaban",Paddy Chayefsky,Ken Russell,6.9
Little Darlings,1980,exact,Little Darlings,1980,"Fifteen year olds Ferris Whitney and Angel Bright meet when they attend the same summer camp and are assigned the bunks next to each other in the same cabin. It's hate at first sight as they are seemingly polar opposites: romantic and literate Ferris comes from a wealthy and thus privileged background, while streetwise and chain-smoking Angel is from the proverbial wrong side of the tracks. But they share one similarity: they are both virgins, the only ones of their age in their cabin. Due to pressure from their cabin mates, most specifically the aggressive Cinder Carlson, the two enter into a bet on who will lose their virginity first and by the end of the summer. Ferris, who initially seems more interested in the pursuit of the opposite sex, quickly sets her sights on Gary Callahan, the much older coach at the camp. But Angel finds her own target, namely Randy Adams, an equally streetwise boy attending the camp across the lake. The process becomes a bonding exercise for the two girls, who take divergent paths to their end goal and in dealing with the aftermath of the alleged big events.","Comedy, Drama","Tatum O'Neal, Kristy McNichol, Armand Assante","Kimi Peck, Dalene Young",Ron Maxwell,6.5
Raise the Titanic,1980,exact,Raise the Titanic,1980,A group of Americans are interested in raising the ill-fated ocean liner Titanic from its watery grave. One of them finds out the Russians also have plans to do so. Why all the interest? A rare mineral on board could be used to power a sound beam that will knock any missile out of the air while entering US airspace.,"Action, Adventure, Drama","Jason Robards, Richard Jordan, David Selby","Adam Kennedy, Eric Hughes, Clive Cussler",Jerry Jameson,5.2
Brubaker,1980,exact,Brubaker,1980,"When the new warden comes in disguised as an inmate, he sees firsthand all the corruption and scams the guards and prison officials are running. When he reveals himself and starts to implement reforms to stop the corruption, the local business community, who had been benefiting from the scams, fights back, and the corrupt prison system starts making political trouble for the new warden.","Crime, Drama","Robert Redford, Yaphet Kotto, Morgan Freeman","W.D. Richter, Arthur A. Ross, Thomas O. Murton",Stuart Rosenberg,7.1
American Gigolo,1980,exact,American Gigolo,1980,Los Angeles escort Julian Kay is accused of a murder which he did not commit.,"Crime, Drama, Mystery","Richard Gere, Lauren Hutton, Hector Elizondo",Paul Schrader,Paul Schrader,6.3
My Bodyguard,1980,exact,My Bodyguard,1980,"Clifford Peache is the new kid in Lake View High School. Faced with all the stress that role entails he makes his situation worse by insulting Moody, the leader of a group of toughs who extort lunch money from kids. These punks pretend to be bodyguards for the kids to protect them from Linderman who, it is rumored, killed his brother in cold blood. Clifford befriends the sullen Linderman and hires him as his bodyguard. When Moody ups the ante, Linderman must decide whether fighting for what he believes in, with his haunted past and image, is justified.","Comedy, Drama, Family","Chris Makepeace, Adam Baldwin, Matt Dillon",Alan Ormsby,Tony Bill,7.1
