name,year,match_method,omdb_title,omdb_year,Plot,Genre_full,Actors_full,Writer_full,Director_full,imdbRating_omdb
Mr. Jealousy,1997,exact,Mr. Jealousy,1997,Lester is an occasional substitute teacher and he's very jealous. He is jealous about the last boyfriend of Lester's slightly wacky current partner Ramona - arrogant best-selling author Dashiell. Lester joins Dashiell's therapy group under an alias to find out if Dashiell still has any feelings for her.,"Comedy, Romance","Eric Stoltz, Annabella Sciorra, Chris Eigeman",Noah Baumbach,Noah Baumbach,6.3
McHale's Navy,1997,exact,McHale's Navy,1997,"Retired Lieutenant Commander Quinton McHale (Tom Arnold) spends his days puttering around the Caribbean in the old PT-73 selling homebrew, ice cream, and swimsuit calendars. He's brought out of retirement when his old nemesis turned the second best terrorist in the world, Major Vladakov (Tim Curry), takes over the island of San Moreno and starts building a nuclear launch silo on it. With help from his old crew and hindrances from Captain Wallace B. Binghampton (Dean Stockwell), who sank a cruise liner a while back, McHale tries to put Vladakov out of business.","Action, Comedy","Tom Arnold, Dean Stockwell, Ernest Borgnine","Peter Crabbe, Andy Rose",Bryan Spicer,4.6
Oscar and Lucinda,1997,exact,Oscar and Lucinda,1997,"In mid-1800s England, Oscar is a young Anglican priest, a misfit and an outcast, but with the soul of an angel. As a boy, even though from a strict Pentecostal family, he felt God told him through a sign to leave his father and his faith and join the Church of England. Lucinda is a teen-aged Australian heiress who has an almost desperate desire to liberate her sex from the confines of the male-dominated culture of the Australia of that time. She buys a glass factory and has a dream of building a church made almost entirely of glass, and then transporting it to Bellingen, a remote settlement on the north coast. Oscar and Lucinda meet on a ship going to Australia; once there, they are for different reasons ostracized from society, and as a result ""join forces"" together. Oscar and Lucinda are both passionate gamblers, and Lucinda bets Oscar her entire inheritance that he cannot transport the glass church to the Outback safely. Oscar accepts her wager, and this leads to the events that will change both their lives forever.","Drama, Romance","Ralph Fiennes, Cate Blanchett, Ciarán Hinds","Laura Jones, Peter Carey",Gillian Armstrong,6.5
Smilla's Sense of Snow,1997,exact,Smilla's Sense of Snow,1997,"Based on Peter Hoeg's bestseller, this film is set in snowy Copenhagen where a small boy is found dead after he fell off a roof. Smilla Jasperson, a close friend who lives in the same house begins to suspect murder because she knows that the boy was afraid of heights and would not have played on the roof. As she begins to investigate, she is pulled deeper and deeper into a conspiracy that could very well mean her death.","Crime, Drama, Mystery","Julia Ormond, Jens Jørgen Fleischer, Agga Olsen","Peter Høeg, Ann Biderman",Bille August,6.3
Trial and Error,1997,exact,Trial and Error,1997,"Lawyer Charlie Tuttle is defending his wife's relative Benny Gibbs in a class action fraud suit, but when he gets to the city where court takes place, he gets drunk and the following day, when the hearings begin, his friend, actor Richard Rjetti takes his place posing as Charlie. The bad thing is that Richard doesn't know anything about being a lawyer, and Charlie has to teach him as the court goes on.","Comedy, Romance","Michael Richards, Jeff Daniels, Charlize Theron","Sara Bernstein, Gregory Bernstein, Cliff Gardner",Jonathan Lynn,5.8
The MatchMaker,1997,exact,The MatchMaker,1997,"Marcy is an assistant to Senator John McGlory, who is having problems with a re-election campaign. Desperate for Irish votes, McGlory's chief of staff Nick sends Marcy to Ireland to trace McGlory's relatives or ancestors. Marcy arrives at the village of Ballinagra when it is preparing for an annual Matchmaking Festival. A well-dressed, handsome and single young lady, she becomes the center of attention for two professional matchmakers, Dermot and Millie, as well as for bartender Sean.","Comedy, Romance","Janeane Garofalo, David O'Hara, Milo O'Shea","Greg Dinner, Karen Janszen, Louis Nowra",Mark Joffe,6.5
The Big Lebowski,1998,exact,The Big Lebowski,1998,"When ""the dude"" Lebowski is mistaken for a millionaire Lebowski, two thugs urinate on his rug to coerce him into paying a debt he knows nothing about. While attempting to gain recompense for the ruined rug from his wealthy counterpart, he accepts a one-time job with high pay-off. He enlists the help of his bowling buddy, Walter, a gun-toting Jewish-convert with anger issues. Deception leads to more trouble, and it soon seems that everyone from porn empire tycoons to nihilists want something from The Dude.","Comedy, Crime","Jeff Bridges, John Goodman, Julianne Moore","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen",8.1
Saving Private Ryan,1998,exact,Saving Private Ryan,1998,"Opening with the Allied invasion of Normandy on 6 June 1944, members of the 2nd Ranger Battalion under Cpt. Miller fight ashore to secure a beachhead. Amidst the fighting, two brothers are killed in action. Earlier in New Guinea, a third brother is KIA. Their mother, Mrs. Ryan, is to receive all three of the grave telegrams on the same day. The United States Army Chief of Staff, George C. Marshall, is given an opportunity to alleviate some of her grief when he learns of a fourth brother, Private James Ryan, and decides to send out 8 men (Cpt. Miller and select members from 2nd Rangers) to find him and bring him back home to his mother...","Drama, War","Tom Hanks, Matt Damon, Tom Sizemore",Robert Rodat,Steven Spielberg,8.6
American History X,1998,exact,American History X,1998,"Derek Vineyard is paroled after serving 3 years in prison for brutally killing two black men who tried to break into/steal his truck. Through his 14 yr old brother's, Danny Vineyard, narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.","Crime, Drama","Edward Norton, Edward Furlong, Beverly D'Angelo",David McKenna,Tony Kaye,8.5
"Lock, Stock and Two Smoking Barrels",1998,exact,"Lock, Stock and Two Smoking Barrels",1998,"Four friends become entangled in a chaotic scheme after a high-stakes card game goes wrong. They navigate London's criminal underworld, facing thieves, gangsters, and double-crosses. The film blends crime, dark comedy, and intricate plotting, exploring luck, friendship, deception, and the consequences of impulsive decisions within a morally ambiguous society.","Comedy, Crime","Jason Flemyng, Dexter Fletcher, Nick Moran",Guy Ritchie,Guy Ritchie,8.1
The Truman Show,1998,exact,The Truman Show,1998,"Since birth, a big fat lie defines the well-organised but humdrum life of the kind-hearted insurance salesman and ambitious explorer, Truman Burbank. Utterly unaware of the thousands of cleverly hidden cameras watching his every move, for nearly three decades, Truman's entire existence pivots around the will and the wild imagination of the ruthlessly manipulative television producer, Christof--the all-powerful TV-God of an extreme 24/7 reality show: The Truman Show. As a result, Truman's picturesque neighbourhood with the manicured lawns and the uncannily perfect residents is nothing but an elaborate state-of-the-art set, and the only truth he knows is what the worldwide television network and its deep financial interests dictate. Do lab rats know they are forever imprisoned?","Comedy, Drama","Jim Carrey, Ed Harris, Laura Linney",Andrew Niccol,Peter Weir,8.2
Armageddon,1998,exact,Armageddon,1998,"Due to a shuttle's unfortunate demise in outer space, NASA becomes aware of a doomsday asteroid that is on a collision course with Earth. It seems that the only way to knock it off course is to drill into its surface and detonate a nuclear weapon. But as NASA's under-funded yet resourceful team train the world's best drillers for the job, the social order of the world begins to break down as the information reaches the public and hysteria results. As high-ranking officials play politics with the effort, the drilling team all faces deep personal issues which may jeopardize humanity's last chance...","Action, Adventure, Sci-Fi","Bruce Willis, Billy Bob Thornton, Ben Affleck","Jonathan Hensleigh, J.J. Abrams, Tony Gilroy",Michael Bay,6.7
Rounders,1998,exact,Rounders,1998,"John Dahl directed this exploration of New York private clubs devoted to high-stakes poker, with first-person narration from the film's central figure, law student Mike McDermott (Matt Damon), who loses his entire savings to Russian club owner Teddy KGB (John Malkovich). Mike then turns away from cards, devoting his attentions to his law studies and his live-in girlfriend Jo (Gretchen Mol), who's concerned when Mike's former gambling buddy Worm (Edward Norton) is released from prison. She has good reason to worry, since it takes Worm only a matter of minutes to draw Mike back into poker action. When she learns Mike has returned to the poker clubs, she moves out, and Mike begins to lose interest in his studies. Worm has a prison debt, and the threatening Grama (Michael Rispoli) wants the money. Mike not only indulges the irresponsible Worm, he gets involved in Worm's debts. When Grama demands $15,000 on a five-day deadline, the two buddies go into high gear with a non-stop, no-sleep gambling binge that spirals downward toward an ultimate confrontation with Teddy KGB.","Crime, Drama","Matt Damon, Edward Norton, Gretchen Mol","David Levien, Brian Koppelman",John Dahl,7.3
The Parent Trap,1998,exact,The Parent Trap,1998,"When two pre-teens named Hallie and Annie meet through their summer camp, their two lives are rattled when they realize that they are identical twins. With parents, British mother aka famous dress designer Elizabeth and American father, a wine maker named Nick, living in two different sides of the universe, the girls decide to make an identity swap in hopes of spending time with their other parent. The girls later choose to inform their guardians of the swap while at a hotel in San Francisco, which later reunites the divorced pair and sends them back into remarriage with each other.","Adventure, Comedy, Drama","Lindsay Lohan, Dennis Quaid, Natasha Richardson","Erich Kästner, David Swift, Nancy Meyers",Nancy Meyers,6.7
Wild Things,1998,exact,Wild Things,1998,"Having recently been named educator of the year, Sam Lombardo is the well-liked guidance counselor and sailing instructor at Blue Bay High School on the Florida coast just outside Miami. The student body of the school is largely comprised of the offspring of the country club set, and while he helps any student he can, he especially tries to mentor those who are disadvantaged, such as Jimmy Leach who would not have been able to afford being in the sailing program otherwise, and tough Suzie Toller, a proverbial swamp girl who he's helped through a few scrapes with the law in the absence of any parents, Suzie living with her streetwise grandmother Ruby at an alligator sideshow zoo. Although not socioeconomically part of that country club set himself, he nonetheless has ingratiated himself within it, he having slept with a good number of the country club maidens, he currently settled into a relationship with Barbara Baxter, the well-off daughter of high powered lawyer Tom Baxter. Sam's world comes crashing down around him when student Kelly Van Ryan, who has made it quite clear to her classmates she is sexually attracted to him and who is the daughter of one of his former bed mates, sexually provocative widow and socially powerful Sandra Van Ryan, accuses him of raping her. Already in trouble in that no one can fight and win against the Van Ryans in Blue Bay, Sam, whose career is ruined regardless of his guilt or innocence in never being able to recover from such accusations, gets into even more problems when Suzie quickly thereafter comes forward also accusing him of previously raping her, her story similar to Kelly's. The likelihood of Kelly and Suzie colluding together to manufacture similar stories is remote as it is well known that they have always detested each other. Having now become persona non grata among that country club set, Sam is forced to hire sleazy storefront lawyer Ken Bowden to defend him. Blue Bay Police Detective Ray Duquette of the Sex Crimes Division, he investigating with his partner Gloria Perez, goes against her advice and that of DA Bryce Hunter by delving into sensitive areas in believing that not all associated with the case are as they appear on the surface.","Crime, Drama, Mystery","Kevin Bacon, Neve Campbell, Matt Dillon",Stephen Peters,John McNaughton,6.6
Blade,1998,exact,Blade,1998,"In a world where vampires walk the earth, Blade has a goal. His goal is to rid the world of all vampire evil. When Blade witnesses a vampire bite Dr. Karen Jenson, he fights away the beast and takes Jenson back to his hideout. Here, alongside Abraham Whistler, Blade attempts to help heal Jenson. The vampire Quinn who was attacked by Blade, reports back to his master Deacon Frost, who is planning a huge surprise for the human population.","Action, Horror, Sci-Fi","Wesley Snipes, Stephen Dorff, Kris Kristofferson",David S. Goyer,Stephen Norrington,7.1
The Wedding Singer,1998,exact,The Wedding Singer,1998,"Robbie Hart is singing the hits of the 1980s at weddings and other celebrations. He also can keep the party going in good spirit, he knows what to say and when to say it. Julia is a waitress at the events where Robbie performs. When both of them find someone to marry and prepare for their weddings, it becomes clear that they've chosen wrong partners.","Comedy, Music, Romance","Adam Sandler, Drew Barrymore, Christine Taylor",Tim Herlihy,Frank Coraci,6.9
Meet Joe Black,1998,exact,Meet Joe Black,1998,"William Parrish (Sir Anthony Hopkins), media tycoon, loving father, and still a human being, is about to celebrate his 65th birthday. One morning, he is contacted by the inevitable, by hallucination, as he thinks. Later, Death enters his home and his life, personified in a man's body: Joe Black (Brad Pitt) has arrived. His intention was to take William with him, but accidentally, Joe's former host and William's beautiful daughter Susan (Claire Forlani) have already met. Joe begins to develop certain interest in life on Earth, as well as in Susan, who has no clue with whom she's flirting.","Drama, Fantasy, Romance","Brad Pitt, Anthony Hopkins, Claire Forlani","Ron Osborn, Jeff Reno, Kevin Wade",Martin Brest,7.2
Rush Hour,1998,exact,Rush Hour,1998,"Cultures clash and tempers flares as the two cops named Detective Inspector Lee a Hong Kong Detective and Detective James Carter FBI, a big-mouthed work-alone Los Angeles cop who are from different worlds discovers one thing in common: they can't stand each other. With time running out, they must join forces to catch the criminals and save the eleven-year-old Chinese girl of the Chinese consul named Soo Yung.","Action, Comedy, Crime","Jackie Chan, Chris Tucker, Ken Leung","Ross LaManna, Jim Kouf",Brett Ratner,7.0
Fear and Loathing in Las Vegas,1998,exact,Fear and Loathing in Las Vegas,1998,"The big-screen version of Hunter S. Thompson's seminal psychedelic classic about his road trip across Western America as he and his large Samoan lawyer searched desperately for the ""American dream""... they were helped in large part by the huge amount of drugs and alcohol kept in their convertible, The Red Shark.","Adventure, Comedy, Drama","Johnny Depp, Benicio Del Toro, Tobey Maguire","Hunter S. Thompson, Terry Gilliam, Tony Grisoni",Terry Gilliam,7.5
Deep Impact,1998,exact,Deep Impact,1998,"Journalist Jenny Lerner is assigned to look into the background of Secretary Alan Rittenhouse who abruptly resigned from government citing his wife's ill health. She learns from his secretary that Rittenhouse was having an affair with someone named Ellie but when she confronts him, his strange reaction leads her to reconsider her story. In fact, a comet, discovered the previous year by high school student Leo Biederman and astronomer Dr. Marcus Wolf, is on a collision course with the Earth, an Extinction Level Event. A joint US-Russian team is sent to destroy the comet but should it fail, special measures are to be put in place to secure the future of mankind. As the space mission progresses, many individuals deal with their fears and ponder their future.","Action, Drama, Sci-Fi","Robert Duvall, Téa Leoni, Elijah Wood","Bruce Joel Rubin, Michael Tolkin",Mimi Leder,6.3
There's Something About Mary,1998,exact,There's Something About Mary,1998,"Ted was a geek in high school, who was going to go to the prom with one of the most popular girls in school, Mary. The prom date never happened, because Ted had a very unusual accident. Thirteen years later he realizes he is still in love with Mary, so he hires a private investigator to track her down. That investigator discovers he too may be in love with Mary, so he gives Ted some false information to keep him away from her. But soon Ted finds himself back into Mary's life, as we watch one funny scene after another.","Comedy, Romance","Cameron Diaz, Matt Dillon, Ben Stiller","Ed Decter, John J. Strauss, Peter Farrelly","Bobby Farrelly, Peter Farrelly",7.1
The Faculty,1998,exact,The Faculty,1998,"On the Harrington High School in Ohio, the newcomer Marybeth Louise Hutchinson tries to befriend the outcast Stokely 'Stokes' Mitchell. The quarterback Stan Rosado quits the football team and breaks off with his girlfriend Delilah Profitt, who is the editor of the school newspaper and head cheerleader. Zeke Tyler, who is repeating the senior year and sells drugs to the other students, has an argument with his teacher Elizabeth Burke. When the bullied Casey Connor finds a weird being on the football field, he brings it to his Professor Edward Furlong that finds that the unknown specimen lives in the water and has the ability of replicating. Later, Delilah brings Casey, who is the photographer of the newspaper and has a crush on her, to the faculty room to snoop around and find any evidence for a story, they need to hide in a closet when Coach Joe Willis and the teacher Karen Olson arrive. Delilah and Casey witness the coach and the teacher attacking Nurse Rosa Harper and they stumble with the corpse of Mrs. Jessica Brummel, who has recently died, in the closet. They call the police but are discredited by Principal Valerie Drake. On the next morning, Casey discloses to Delilah, Stokely and Stan that he believes that aliens are taking over the planet through their high school. Zeke and Marybeth overhear the conversation and join the group. Further they discover that the aliens need water to survive and Zeke's drug is diuretic and kills them. But the problem is who can be trusted in the group.","Horror, Mystery, Sci-Fi","Jordana Brewster, Clea DuVall, Laura Harris","David Wechter, Bruce Kimmel, Kevin Williamson",Robert Rodriguez,6.6
A Bug's Life,1998,exact,A Bug's Life,1998,"At an annual pace, a huge colony of ants is forced to collect every piece of food that grows on their island for a group of menacing grasshoppers. But that all changes when a misfit inventor ant named Flik accidentally knocks over the offering pile thus forcing the grasshoppers' devious leader Hopper to force the ants to redo their gathering of food. Despite the fact that his friends don't believe him and desperate to help save the colony, Flik volunteers to go out into the world and search for a group of 'warrior' bugs. Instead, what he got was a talented group of circus performers. But when the grasshoppers return and take control of the island, Flik must prove himself a true hero before it's too late.","Animation, Adventure, Comedy","Kevin Spacey, Dave Foley, Julia Louis-Dreyfus","Andrew Stanton, Don McEnery, Bob Shaw","John Lasseter, Andrew Stanton",7.2
Out of Sight,1998,exact,Out of Sight,1998,"A career bank robber busts out of jail (Clooney) with the help of his buddy (Rhames) and kidnaps a US Marshal (Lopez) in the process. When the two cons head for Detroit to pull off their final big scam, the Marshal is put on their case but she finds she is attracted to one of them and has second thoughts about bringing them in.","Comedy, Crime, Drama","George Clooney, Jennifer Lopez, Ving Rhames","Elmore Leonard, Scott Frank",Steven Soderbergh,7.0
Mulan,1998,exact,Mulan,1998,"This retelling of the old Chinese folktale is about the story of a young Chinese maiden who learns that her weakened and lame father is to be called up into the army in order to fight the invading Huns. Knowing that he would never survive the rigours of war in his state, she decides to disguise herself and join in his place. Unknown to her, her ancestors are aware of this and to prevent it, they order a tiny disgraced dragon, Mushu to join her in order to force her to abandon her plan. He agrees, but when he meets Mulan, he learns that she cannot be dissuaded and so decides to help her in the perilous times ahead.","Animation, Adventure, Comedy","Ming-Na Wen, Eddie Murphy, BD Wong","Robert D. San Souci, Rita Hsiao, Chris Sanders","Tony Bancroft, Barry Cook",7.7
Practical Magic,1998,exact,Practical Magic,1998,"Sisters Sally Owens (Sandra Bullock) and Gillian Owens (Nicole Kidman) have a special bond with each other despite being different in personality and outlook. Having grown up with their spinster Aunt Frances (Stockard Channing) and Aunt Jet (Dianne Wiest) in the long time Owens family house on an island off the coast of Massachusetts following the death of their father and then their mother, they are the latest in a long line of witches. Rumors of the Owens women being witches have existed for generations in the small close-minded town in which they live, despite there being no hard evidence. The Owens women are also under a curse that any man with who they fall in love is doomed. With this experience, extroverted Gillian decides to leave the island to live life to the fullest, in the process, falling for Jimmy Angelov (Goran Visnjic), a Bulgarian who grew up near Transylvania. More introspective Sally, who has sworn off the use of magic except in its most practical sense, has taken measures not to fall in love because of the curse, but ends up falling for and marrying Michael (Mark Feuerstein), a local merchant, the two who end up having two daughters of their own. The curse works its way into Gillian's and Sally's lives in different ways. The outcomes of the curse on their collective lives become more complicated with the arrival into town of Tuscon Police Detective Gary Hallet (Aidan Quinn), whose arrival is not by accident and involves more than just his stated professional purpose.","Comedy, Drama, Fantasy","Sandra Bullock, Nicole Kidman, Stockard Channing","Alice Hoffman, Robin Swicord, Akiva Goldsman",Griffin Dunne,6.4
The Thin Red Line,1998,exact,The Thin Red Line,1998,"U.S. Army Private Witt (AWOL) is found and imprisoned on a troop carrier by his company First Sergeant, Welsh.The men of C Company,1st Battalion,27th Infantry Regiment,25th Infantry Division have been brought to Guadalcanal as reinforcements in the campaign to secure Henderson Field and seize the island from the Japanese. They arrive near Hill 210, a key Japanese position. Their task is to capture the hill at all costs. What happens next is a story of redemption and the meaninglessness of war. Regardless of the outcome.","Drama, History, War","Jim Caviezel, Sean Penn, Nick Nolte","James Jones, Terrence Malick",Terrence Malick,7.6
Pleasantville,1998,exact,Pleasantville,1998,"David Wagner is a kid whose mind is stuck in the 1950s. He's addicted to a classic 50's sitcom television show called ""Pleasantville"". Pleasantville is a simple place, a place where all of its citizens are swell and simple-minded folks, a place where the word ""violence"", and life outside of Pleasantville, is unbeknownst to its inhabitants; things are perfect down in Pleasantville. One evening, the life of David and his obnoxious sister Jennifer take a bizarre turn when an eccentric repairman hand them a supposed magical remote. After a quarrel between the siblings, they inexplicably zap themselves into the world of ""Pleasantville"". Now, David and Jennifer must adjust to a 50s lifestyle of repressed desires and considerably different societal values while trying to find their way home.","Comedy, Drama, Fantasy","Tobey Maguire, Jeff Daniels, Joan Allen",Gary Ross,Gary Ross,7.5
You've Got Mail,1998,exact,You've Got Mail,1998,This sweet romantic comedy reunites Sleepless In Seattle stars Meg Ryan and Tom Hanks. He's the owner of a bookstore chain; she's the woman he falls for online. Both are unaware that she runs the little shop his company is trying to shut down.,"Comedy, Drama, Romance","Tom Hanks, Meg Ryan, Greg Kinnear","Miklós László, Nora Ephron, Delia Ephron",Nora Ephron,6.7
What Dreams May Come,1998,exact,What Dreams May Come,1998,"During a holiday in Switzerland, a young Chris Nielsen meets Annie Collins in a lake when their boats collide. Sharing a snack a few hours later, Chris and Annie fall in love. Marrying quickly, Chris works as pediatrician and Annie as artist painter and art dealer, and have two children, Ian and Marie. But their happy family life torn apart when Ian and Marie are in a car accident that kills them both and the nanny who was driving. Four years later, Chris and Annie try to restore their life despite the tragedy and celebrate their anniversary. When returning that night, Chris witnesses a car accident, after exiting the car in an attempt to help people, another car crashes into him, fatally hurting him. As he is dying in the hospital, Chris turns into a ghost in an attempt to tell Annie that he still exists and loves her, but his efforts cause more pain, and he decides to leave. Traveling Afterlife, Chris wakes up in Heaven, where he meets Albert Lewis, his former mentor. While Albert helps Chris to adapt to his new existence in Heaven. Annie falls into a deeper depression, tormented by the reminder of her husband and children. Unable to resist the suffering, Annie commits suicide, and Albert returns to Chris to explain him Annie's death. Determined to save Annie, Chris decides to travel to Hell to find her. As the travel advances, Chris' memories of his life with Ian and Annie put the mission in danger, making it harder to connect with Annie. Making a discovery about Albert's true identity, The Tracker splits them. But when they find her, Chris' memories of his life with Annie will make Chris question the success of the travel, having to make a decision that can change everything forever.","Drama, Fantasy, Romance","Robin Williams, Cuba Gooding Jr., Annabella Sciorra","Richard Matheson, Ron Bass",Vincent Ward,7.0
Rushmore,1998,fuzzy,Rushmore,1999,"Max Fischer is a precocious 15-year-old whose reason for living is his attendance at Rushmore, a private school where he's not doing well in any of his classes, but where he's the king of extracurricular activities - from being in the beekeeping society to writing and producing plays, there's very little after school he doesn't do. His life begins to change, however, when he finds out he's on academic probation, and when he stumbles into love with Miss Cross, a pretty teacher of the elementary school at Rushmore. Added to the mix is his friendship with Herman Blume, wealthy industrialist and father to boys who attend the school, and who also finds himself attracted to Miss Cross. Max's fate becomes inextricably tied to this odd love triangle, and how he sets about resolving it is the story in the film.","Comedy, Drama, Romance","Jason Schwartzman, Bill Murray, Olivia Williams","Wes Anderson, Owen Wilson",Wes Anderson,7.6
The Mask of Zorro,1998,exact,The Mask of Zorro,1998,"In 1821 Old California, mysterious black-caped masked avenger of the oppressed, Don Diego de la Vega--Zorro--lands in jail after once again humiliating the evil Spanish governor Don Rafael Montero. With his only daughter raised by Don Rafael as his own, the grizzled swordsman makes a daring escape nearly two decades later, and takes under his wing the unrefined outlaw Alejandro Murietta to teach him the ropes and hopefully become the next Zorro. Now, the stage is set for a ferocious final confrontation, as the new young rapier-wielder prepares to thwart the despicable governor's sinister plans. Can Alejandro live up to legendary Zorro's name?","Action, Adventure, Comedy","Antonio Banderas, Anthony Hopkins, Catherine Zeta-Jones","Johnston McCulley, Ted Elliott, Terry Rossio",Martin Campbell,6.8
A Perfect Murder,1998,exact,A Perfect Murder,1998,"Millionaire industrialist Steven Taylor is a man who has everything but what he craves most: the love and fidelity of his wife. A hugely successful player in the New York financial world, he considers her to be his most treasured acquisition. But she needs more than simply the role of dazzling accessory. Brilliant in her own right, she works at the U.N. and is involved with a struggling artist who fulfills her emotional needs. When her husband discovers her indiscretion, he sets out to commit the perfect murder and inherit her considerable trust fund in the bargain.","Crime, Drama, Thriller","Michael Douglas, Gwyneth Paltrow, Viggo Mortensen","Frederick Knott, Patrick Smith Kelly",Andrew Davis,6.6
Dark City,1998,exact,Dark City,1998,"John Murdoch awakens alone in a strange hotel to find that he has lost his memory and is wanted for a series of brutal and bizarre murders. While trying to piece together his past, he stumbles upon a fiendish underworld controlled by a group of beings known as The Strangers who possess the ability to put people to sleep and alter the city and its inhabitants. Now Murdoch must find a way to stop them before they take control of his mind and destroy him.","Fantasy, Mystery, Sci-Fi","Rufus Sewell, William Hurt, Kiefer Sutherland","Alex Proyas, Lem Dobbs, David S. Goyer",Alex Proyas,7.6
Ever After: A Cinderella Story,1998,exact,Ever After: A Cinderella Story,1998,"Andy Tennant directed this Cinderella variant. The Brothers Grimm arrive at the home of a wealthy Grande Dame (Jeanne Moreau) who speaks of the many legends surrounding the fable of the cinder girl before telling the ""true"" story of her ancestor. In flashback, the story then focuses on eight-year-old Danielle, daughter of a wealthy widower, a 16th-century landowner. After returning to France with his new wife Rodmilla (Anjelica Huston) and her two daughters, he dies of a heart attack. Ten years later, Danielle (Drew Barrymore) is now treated as a servant by the trio. Fortunately, she has an encounter with Prince Henry (Dougray Scott), who is fleeing an arranged marriage. Later, when Danielle poses as a Lady, the Prince takes an interest in her. Inventor-artist Leonardo Da Vinci (Patrick Godfrey), accepting the French court's patronage, offers advice to Prince Henry on matters of the heart.","Drama, Romance","Drew Barrymore, Anjelica Huston, Dougray Scott","Susannah Grant, Andy Tennant, Rick Parks",Andy Tennant,7.1
Godzilla,1998,exact,Godzilla,1998,"In the wake of extensive nuclear testing in the South Pacific Ocean, the low-profile scientist, Niko Tatopoulos, is summoned by the U.S. Army to shed light on the mysterious attack on a fishing ship, and the ominous sightings of a gargantuan sea-dragon. Before long, a mutated scaly nightmare in the shape of Godzilla--a massive and all-powerful radioactive sauroid--threatens to level the rain-soaked New York City, against the backdrop of a crippling bureaucracy and the military's futile attempts to stop the invincible beast from the ocean. Now, it's up to Niko; the cryptic insurance agent, Philippe; the determined reporter, Audrey, and her brave cameraman, Victor, to put an end to Godzilla's reign of terror before it's too late. Is there a reason why Godzilla has chosen Manhattan for its den?","Action, Sci-Fi, Thriller","Matthew Broderick, Jean Reno, Maria Pitillo","Dean Devlin, Roland Emmerich, Ted Elliott",Roland Emmerich,5.5
Shakespeare in Love,1998,exact,Shakespeare in Love,1998,"William Shakespeare (Joseph Fiennes) is a known but struggling poet, playwright, and actor, who not only has sold his next play to both Philip Henslowe (Geoffrey Rush) and Richard Burbage (Martin Clunes), but now faces a far more difficult problem: he is bereft of ideas and has yet to begin writing. He is in search of his muse, the woman who will inspire him but all attempts fail him until he meets the beautiful Viola De Lesseps (Gwyneth Paltrow). She loves the theatre and would like nothing more than to take to the stage, but is forbidden from doing so as only men can be actors. She is also a great admirer of Shakespeare's works. Dressing as a man, and going by the name of ""Thomas Kent"", she auditions and is ideal for a part in his next play. Shakespeare soon sees through her disguise and they begin a love affair, one they know cannot end happily for them as he is already married and she has been promised to the dour Lord Wessex (Colin Firth). As the company rehearses his new play, William and Viola's love is transferred to the written page leading to the masterpiece that is Romeo and Juliet.","Comedy, Drama, History","Gwyneth Paltrow, Joseph Fiennes, Geoffrey Rush","Marc Norman, Tom Stoppard",John Madden,7.1
Can't Hardly Wait,1998,exact,Can't Hardly Wait,1998,"It's high school graduation and, like all seniors, they want to party. So, 500 high school seniors look forward to a party while, in the meantime, a boy wants to get a girl he's loved for years who just broke up with her boyfriend, and one head-case who wants revenge on a lifelong bully. So, the party comes, things develop. People have sex, drink, and go along with most of the guidelines of a high school graduation party.","Comedy, Romance","Jennifer Love Hewitt, Ethan Embry, Charlie Korsmo","Deborah Kaplan, Harry Elfont","Harry Elfont, Deborah Kaplan",6.5
Small Soldiers,1998,exact,Small Soldiers,1998,"Fifteen-year-old Alan Abernathy, the son of a toy store owner, tries out some new action figures: The Commando Elite versus The Gorgonites. But three months ago, a toy company believes it is onto something when it employs the latest government military technology in a series of action figures, enabling them to talk. They underestimate the power of the special micro chips they've employed, however, as the two opposing sides of the toy line start thinking for themselves and engaging in real combat! The Commando Elite vow to wipe out the Gorgonites in a suburban neighborhood. Alan, his neighbor Christy Fimple, (on whom he has a massive crush) with the help of the kind Gorgonites, must protect his home and family from the Commandos.","Action, Adventure, Comedy","Kirsten Dunst, Gregory Smith, David Cross","Gavin Scott, Adam Rifkin, Ted Elliott",Joe Dante,6.3
Snake Eyes,1998,exact,Snake Eyes,1998,"Ricky Santoro is a flamboyant and corrupt Atlantic City cop with a dream: become so well connected that he can become mayor. In lieu of that, he'll settle for keeping his comfortable lifestyle. On the night of the heavyweight boxing championship, Rick becomes mixed up in the assassination of the Secretary of Defense, an assassination involving his best friend. Becoming the investigating officer in the case, Rick soon uncovers a conspiracy to kill the Secretary and a mysterious woman in white. The conspiracy was shocking, but not half as shocking as the identity of its mastermind.","Crime, Mystery, Thriller","Nicolas Cage, Gary Sinise, John Heard","Brian De Palma, David Koepp",Brian De Palma,6.1
